N;Pregunta;Opción A;Opción B;Opción C;Opción D;Respuesta Correcta
1;¿Cuál es la consecuencia directa de no poder respaldar una orientación de evaluación con evidencia física o digital?;Se otorga un plazo de gracia de 5 días para radicar el soporte en la oficina de la Aerocivil.;"Dará como resultado una calificación de ""No satisfactorio"" y generará una constatación negativa.";El inspector permitirá una validación verbal siempre que el Jefe de Pilotos firme como testigo.;"Se marcará como ""No aplicable"" para no afectar el flujo de la auditoría en campo.";Opción B
2;¿Qué documentos deben coincidir exactamente para validar que el UAS presente está autorizado en el proceso de IEB?;Las facturas de compra originales junto con los manuales de usuario del fabricante.;El formulario DIS, el borrador de las OpSpecs y el Manual de Operaciones (MO).;La bitácora personal del piloto junto con el registro de mantenimiento de la estación de tierra.;La póliza de responsabilidad civil y los contratos de trabajo de los técnicos de mantenimiento.;Opción B
3;Según el RAC 100, ¿cuál es el límite máximo de tiempo de servicio permitido para un piloto UAS en un periodo de 24 horas?;El piloto no debe exceder las diez horas continuas de servicio sumando todas las fases operativas.;No podrá exceder las ocho horas de vuelo efectivo independientemente de la gestión previa.;Se permite extender la jornada hasta las catorce horas si la misión es de carácter urgente.;Debe cumplir un máximo de doce horas de servicio con un descanso intermedio obligatorio.;Opción A
5;"¿Bajo qué circunstancia un inspector de la Aerocivil califica un ítem como ""No satisfactorio""?";Cuando el solicitante presenta la documentación en digital pero el inspector la requiere en físico.;Si el requisito se cumple solo de forma parcial o no se presenta evidencia de su cumplimiento.;Únicamente cuando el solicitante se niega a permitir el acceso a las instalaciones de bodega.;Si la norma de referencia citada en el formulario ha sido derogada hace menos de un mes.;Opción B
6;Para operaciones VLOS, ¿qué aspecto de mantenimiento preventivo debe demostrar el equipo de IEB en campo?;La capacidad de reparar circuitos integrados de la aeronave en condiciones de intemperie.;La calibración de sensores inerciales mediante software especializado de nivel ingeniería.;El seguimiento de un procedimiento de ajuste, limpieza y verificaciones con soporte de registro.;El reemplazo total de motores y ESC siguiendo las recomendaciones del fabricante del drone.;Opción C
7;¿Qué requisito es indispensable en el Certificado de Idoneidad para realizar misiones específicas?;Contar con una experiencia mínima de mil horas registradas en drones de la misma categoría.;Tener vigentes las adiciones técnicas específicas para el tipo de operación que se pretende realizar.;Haber aprobado el examen médico de aviación tripulada de clase 1 ante un centro certificado.;Poseer un título profesional en ingeniería aeronáutica o áreas de telecomunicaciones civiles.;Opción B
8;¿Qué debe registrarse obligatoriamente en el log de eventos para el análisis de seguridad en el SMS?;La identidad del fabricante del software y el número de serie de la antena de transmisión.;El registro de advertencias de geocercas, límites de altura y degradación del enlace C2.;El análisis detallado de los costos logísticos por cada hora de interrupción de la misión.;Una lista de todos los comandos de telemetría enviados por el piloto durante el despegue.;Opción B
9;En la gestión de baterías, ¿qué verificará el inspector de forma prioritaria durante la auditoría en campo?;Que las baterías tengan menos de veinte ciclos de carga para asegurar la máxima potencia.;Que el piloto cuente con un curso técnico de manipulación de materiales peligrosos (Hazmat).;El procedimiento de control, manejo, transporte y almacenamiento según el Manual de Operaciones.;La presencia de un sistema de enfriamiento criogénico dentro de las carcasas de transporte.;Opción C
10;"¿Cuál es el requisito reglamentario para el área designada como ""dronepuerto"" durante la operación?";Estar ubicado a menos de un kilómetro de una estación de bomberos aeronáuticos activa.;Que el color de la lona de aterrizaje coincida con el logo corporativo de la empresa IEB.;Estar debidamente delimitado, señalizado y descrito conforme al Manual de Operaciones.;Contar con un sistema de iluminación nocturna aunque la operación sea exclusivamente diurna.;Opción C
11;¿Qué se debe verificar sobre el suministro eléctrico de la estación de control en tierra (GCS)?;Que sea de marca internacional y cuente con garantía de por vida del distribuidor local.;Que el suministro de energía sea eficiente y óptimo para garantizar la operación segura.;Tener baterías de respaldo capaces de mantener el sistema encendido por doce horas seguidas.;Contar con una certificación RETIE vigente emitida por un perito eléctrico externo.;Opción B
12;¿Cuál es el propósito fundamental de la reunión de apertura (briefing) antes de iniciar el vuelo?;Establecer los honorarios del equipo y definir los tiempos de entrega de los productos finales.;Designar roles, responsabilidades, identificar peligros y repasar protocolos de emergencia.;Realizar una limpieza profunda de los lentes de la cámara y sensores de posicionamiento.;Validar que todos los participantes tengan sus carnés corporativos visibles al inspector.;Opción B
13;¿Qué documentos de la aeronave deben estar disponibles para revisión inmediata del inspector en sitio?;El certificado de importación legal y la factura de venta original con el sello de aduanas.;El libro de vuelo y el libro de mantenimiento de cada UA, debidamente actualizados.;Un contrato de arrendamiento del drone en caso de que este no sea propiedad de la empresa.;La lista completa de materiales químicos utilizados en la fabricación de las hélices.;Opción B
14;¿Qué acción debe ejecutar el piloto ante una alerta confirmada de pérdida del enlace C2?;Continuar la misión en modo automático esperando que la señal retorne de forma natural.;Ejecutar los procedimientos de recuperación y mitigación definidos en su Manual de Operaciones.;Apagar la estación de mando para forzar el protocolo de seguridad de la aeronave.;Solicitar una frecuencia de emergencia a la torre de control de aviación tripulada más cercana.;Opción B
15;¿Qué figura dentro de IEB debe tener la facultad legal para tomar decisiones sobre la operación?;El Jefe de Pilotos, siempre que tenga más de cinco años de experiencia en el sector UAS.;El Responsable de Calidad, quien supervisa la correcta aplicación de todos los manuales.;Un Directivo Responsable nombrado por la Gerencia con poder amplio de decisión operativa.;El piloto al mando, quien tiene la última palabra sobre el presupuesto de la misión.;Opción C
16;¿Cómo se documenta la entrevista del inspector al personal sobre el Plan de Emergencias?;El inspector grabará un video de la entrevista para subirlo a la plataforma Isolución.;El personal debe responder y el inspector hará un acta con la declaración textual de estos.;Se debe entregar un examen escrito previamente calificado por el Responsable de SMS.;Solo el representante legal puede responder preguntas sobre seguridad ante el inspector.;Opción B
17;¿Qué se requiere respecto a la identificación física del UAS durante la inspección en campo?;Que la aeronave esté pintada con colores de alta visibilidad que contrasten con el entorno.;Que el número de serie esté grabado en el chasis mediante tecnología de micropercusión.;Que el UAS cuente con la etiqueta de identificación requerida fijada de manera conforme.;Que el drone emita un destello de luz estroboscópica roja cada tres segundos exactos.;Opción C
18;¿Cuál es el criterio para el software de planificación de vuelo utilizado por IEB?;Que sea una plataforma con almacenamiento en servidores ubicados dentro de Colombia.;Que permita realizar la planificación conforme a lo establecido en el Manual de Operaciones.;Que haya sido auditado y aprobado por el fabricante del drone antes de la certificación.;Que bloquee automáticamente el despegue si detecta ráfagas de viento de más de 5 nudos.;Opción B
19;¿Qué relación existe entre la respuesta del explotador y la calificación final del inspector?;"La respuesta ""SÍ"" del explotador garantiza automáticamente la calificación satisfactoria.";"El inspector puede marcar ""SÍ"" en la respuesta pero calificar ""No satisfactorio"" sin pruebas.";"Si el explotador marca ""NO"", el inspector debe cancelar la auditoría de forma inmediata.";La calificación satisfactoria depende únicamente de la antigüedad de la empresa en el sector.;Opción B
20;"¿Cuál es la consecuencia de recibir una calificación ""No satisfactorio"" en un ítem de idoneidad?";Se otorga un plazo de un mes para que el piloto realice un nuevo curso de capacitación.;La falla se registra como una constatación que debe ser comunicada formalmente al solicitante.;El inspector asume el mando de la operación para demostrar cómo se debe realizar el proceso.;Se permite que un observador UAS realice la función del piloto durante el resto de la auditoría.;Opción B
21;¿Qué maniobra específica debe realizarse a la máxima distancia para verificar la estabilidad del enlace C2?;Un ascenso vertical rápido hasta los 500 pies AGL seguido de un descenso en espiral controlado.;Rotaciones YAW de 360° hacia ambos lados con ángulos de balanceo iguales o mayores a 10°.;Un vuelo en línea recta de ida y vuelta manteniendo una velocidad constante de 15 nudos.;Maniobras de ochos perezosos a baja altura para verificar la ganancia de las antenas laterales.;Opción B
22;¿Cuál es el límite de altura permitido durante todas las fases de la prueba de distancia del enlace C2?;No debe superar los 400 pies AGL para garantizar la seguridad y visibilidad del equipo.;Se permite alcanzar los 500 pies AGL siempre que se cuente con un observador de flanco.;El límite está definido exclusivamente por la potencia de transmisión de la banda VHF utilizada.;No existe un límite fijo mientras la telemetría indique una intensidad de señal superior al 80%.;Opción A
23;¿Qué requisito debe cumplir el cambio entre estaciones de control (GCS) durante una operación UA?;Debe realizarse previa notificación radial a la torre de control de la jurisdicción aérea.;Se requiere el aterrizaje total de la aeronave para reconfigurar el cifrado de los datos.;Debe ejecutarse sin oscilaciones o perturbaciones que afecten el vuelo seguro de la UA.;El sistema debe entrar en modo de vuelo estacionario por un periodo mínimo de dos minutos.;Opción C
